interaction_id,timestamp_utc,use_case,model_provider,model_name,cost_usd,latency_ms,proba_failure,action_review
INT004006,2025-04-20 16:33:46+00:00,coding_assistant,meta,llama-3.1-8b,0.06432,1840,0.5200258315054374,True
INT000067,2025-04-16 07:23:48+00:00,coding_assistant,google,gemini-1.5-pro,0.52704,1723,0.5183038555042301,True
INT002635,2025-04-01 19:39:46+00:00,coding_assistant,google,gemini-1.5-pro,0.19296,1447,0.5171063848223261,True
INT003839,2025-02-04 07:07:17+00:00,coding_assistant,local,custom-local-8b,0.00652,1808,0.5165253028363022,True
INT002657,2025-04-08 16:42:39+00:00,coding_assistant,meta,llama-3.1-8b,0.03228,1525,0.5020081072952728,True
INT003900,2025-04-13 22:19:57+00:00,coding_assistant,meta,llama-3.1-70b,0.2673999999999999,657,0.5010991124329186,True
INT004130,2025-04-20 16:36:16+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.38048,1287,0.4999423135772417,True
INT000221,2025-03-11 08:23:45+00:00,coding_assistant,local,custom-local-8b,0.0046,1307,0.4952004531358658,True
INT008060,2025-04-08 17:26:57+00:00,coding_assistant,meta,llama-3.1-8b,0.07484,1977,0.4902092684436392,True
INT006345,2025-02-17 10:00:11+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.2348799999999999,555,0.4889043228956758,True
INT002448,2025-02-12 22:45:51+00:00,coding_assistant,google,gemini-1.5-pro,0.17024,1035,0.48815369013822646,True
INT000018,2025-04-13 22:03:28+00:00,coding_assistant,openai,gpt-4o-mini,0.02488,1465,0.4864845531742394,True
INT006763,2025-04-07 11:49:06+00:00,data_analysis,google,gemini-1.5-pro,0.2348799999999999,981,0.4822899721856482,True
INT000092,2025-02-21 08:48:57+00:00,coding_assistant,local,custom-local-8b,0.0055999999999999,795,0.4796855355219173,True
INT006117,2025-04-01 20:18:00+00:00,coding_assistant,meta,llama-3.1-8b,0.075,785,0.4717609758584252,True
INT004485,2025-03-11 09:30:17+00:00,coding_assistant,local,custom-local-8b,0.00484,2364,0.47143814132896167,True
INT007102,2025-04-16 08:34:45+00:00,coding_assistant,meta,llama-3.1-70b,0.0476,1410,0.469940885583488,True
INT005905,2025-02-12 09:53:13+00:00,data_analysis,google,gemini-1.5-pro,0.0969599999999999,678,0.46659744789935026,True
INT005105,2025-02-04 07:13:00+00:00,coding_assistant,openai,gpt-4.1,0.3568,1080,0.4653801425656746,True
INT000316,2025-04-17 17:15:12+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.41856,1320,0.46242229383900274,True
INT003294,2025-02-17 09:44:18+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.13568,1165,0.4618733850369084,True
INT005760,2025-02-21 09:48:59+00:00,coding_assistant,openai,gpt-4o-mini,0.0168,1405,0.457003051956739,True
INT000464,2025-03-15 00:36:46+00:00,coding_assistant,meta,llama-3.1-70b,0.304,1192,0.4552440820095561,True
INT008424,2025-03-04 08:31:46+00:00,coding_assistant,meta,llama-3.1-70b,0.0568,1136,0.4549990621664818,True
INT005967,2025-03-06 21:27:43+00:00,data_analysis,local,custom-local-8b,0.0033599999999999,875,0.4517906779710513,True
INT003908,2025-03-13 07:33:31+00:00,coding_assistant,openai,gpt-4.1,0.0547999999999999,546,0.44690819124794384,True
INT008777,2025-04-07 12:00:03+00:00,data_analysis,meta,llama-3.1-8b,0.03312,1503,0.44606714891237065,True
INT006406,2025-03-04 19:59:30+00:00,coding_assistant,openai,gpt-4.1,0.1624,1699,0.4456443090847094,True
INT002829,2025-04-08 10:00:28+00:00,data_analysis,openai,gpt-4o-mini,0.01532,996,0.44453009284247497,True
INT007000,2025-03-04 20:08:54+00:00,coding_assistant,openai,gpt-4.1,0.4496,886,0.4428155954696475,True
INT008120,2025-04-15 20:50:01+00:00,coding_assistant,google,gemini-1.5-pro,0.49728,1029,0.442028050172096,True
INT001428,2025-03-23 08:36:47+00:00,coding_assistant,local,custom-local-8b,0.00912,2349,0.4416686661774249,True
INT008133,2025-04-25 15:35:14+00:00,coding_assistant,google,gemini-1.5-pro,0.36,1087,0.44151105112706307,True
INT001401,2025-04-23 12:29:52+00:00,coding_assistant,local,custom-local-8b,0.00284,3406,0.4413183742414616,True
INT000289,2025-03-07 04:46:43+00:00,data_analysis,meta,llama-3.1-8b,0.00564,946,0.44097677201006674,True
INT007830,2025-04-20 17:32:10+00:00,coding_assistant,google,gemini-1.5-pro,0.28576,964,0.4406652142089119,True
INT004637,2025-04-22 14:58:03+00:00,coding_assistant,openai,gpt-4o-mini,0.0392,1474,0.4402465150235758,True
INT003490,2025-03-04 19:45:18+00:00,coding_assistant,meta,llama-3.1-70b,0.2512,468,0.4401319476844188,True
INT006251,2025-02-11 17:23:08+00:00,coding_assistant,mistral,mistral-large,0.11928,944,0.43845498989814563,True
INT007020,2025-02-12 22:57:17+00:00,coding_assistant,google,gemini-1.5-pro,0.08064,1366,0.43749440018360986,True
INT003809,2025-04-17 17:35:03+00:00,data_analysis,meta,llama-3.1-70b,0.2248,1180,0.43747440834389584,True
INT002783,2025-02-21 09:15:51+00:00,coding_assistant,meta,llama-3.1-8b,0.05616,1057,0.4369304027077434,True
INT007057,2025-04-15 13:28:56+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.4592,1705,0.4367381059250776,True
INT002463,2025-02-23 08:59:51+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.0297599999999999,850,0.4344452250955187,True
INT001009,2025-03-22 14:00:38+00:00,coding_assistant,openai,gpt-4.1,0.2084,841,0.4340854096325574,True
INT007090,2025-03-31 19:37:08+00:00,coding_assistant,meta,llama-3.1-70b,0.1318,1252,0.4335996995925719,True
INT008299,2025-03-04 10:13:42+00:00,data_analysis,local,custom-local-8b,0.0024,445,0.432778946344483,True
INT006643,2025-04-20 17:17:24+00:00,coding_assistant,openai,gpt-4o-mini,0.0102399999999999,898,0.43243513899019004,True
INT008212,2025-03-13 07:34:06+00:00,coding_assistant,meta,llama-3.1-70b,0.2636,1092,0.43049573491747767,True
INT004176,2025-04-16 07:44:03+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.13408,689,0.43020665473792435,True
INT003847,2025-04-09 15:14:16+00:00,coding_assistant,local,custom-local-8b,0.0067199999999999,1141,0.4297567004487723,True
INT008819,2025-03-04 10:23:23+00:00,data_analysis,mistral,mistral-large,0.102,735,0.42615388424530853,True
INT007119,2025-03-04 20:26:02+00:00,coding_assistant,local,custom-local-8b,0.00272,967,0.4247405475430936,True
INT005303,2025-03-31 18:57:32+00:00,coding_assistant,openai,gpt-4.1,0.1716,1079,0.42438797339427065,True
INT001062,2025-03-04 08:40:22+00:00,data_analysis,openai,gpt-4o-mini,0.01492,1995,0.4223045478170399,True
INT000443,2025-03-22 14:00:15+00:00,coding_assistant,meta,llama-3.1-8b,0.06028,1479,0.42154739659641166,True
INT007391,2025-03-04 20:51:29+00:00,coding_assistant,local,custom-local-8b,0.00144,1716,0.42109680705688457,True
INT004035,2025-02-23 10:01:26+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.41376,398,0.4209540425236509,True
INT008067,2025-03-04 09:58:55+00:00,data_analysis,mistral,mistral-large,0.0941999999999999,1268,0.4209212561224847,True
INT000167,2025-03-07 04:39:30+00:00,data_analysis,meta,llama-3.1-70b,0.3839999999999999,1453,0.420291289127419,True
INT000120,2025-02-10 06:01:32+00:00,coding_assistant,meta,llama-3.1-70b,0.109,1002,0.42003422971008997,True
INT007325,2025-04-09 15:51:13+00:00,coding_assistant,local,custom-local-8b,0.0041199999999999,1349,0.41965685974866546,True
INT005030,2025-04-20 16:41:32+00:00,coding_assistant,openai,gpt-4o-mini,0.02248,984,0.41926874820970045,True
INT008754,2025-03-21 10:47:36+00:00,coding_assistant,local,custom-local-8b,0.0017599999999999,1412,0.41895467059221486,True
INT003388,2025-04-25 15:29:50+00:00,coding_assistant,local,custom-local-8b,0.00244,1324,0.41752064095060887,True
INT000671,2025-03-31 17:42:29+00:00,coding_assistant,meta,llama-3.1-70b,0.2652,1186,0.41725415226196916,True
